Time Step;Label Index;Name (NA);Voxel count;Volume (mm³);Center Of Mass X (mm);Center Of Mass Y (mm);Center Of Mass Z (mm)
0;2459;;503.0;3.107251371105307e-08;1.6087984899880732;0.316165405562887;0.11571915832923958
0;2460;;504.0;3.1134288092188365e-08;0.7016141899469444;0.9773764034520477;0.11541134862297937
0;2461;;504.0;3.1134288092188365e-08;1.393959287161759;0.7180480163844983;0.1262123484985349
0;2462;;504.0;3.1134288092188365e-08;0.9233534005820697;0.9746390027306274;0.11611493766297937
0;2463;;505.0;3.119606247332366e-08;1.1791158352543698;0.17229195928388008;0.11507086972807068
0;2464;;506.0;3.125783685445896e-08;1.1940043497583497;1.0286681775442215;0.1390563044212051
0;2465;;507.0;3.131961123559425e-08;1.0845475894675103;0.17996628975557688;0.12911877740462302
0;2466;;507.0;3.131961123559425e-08;0.7637624526252321;0.3109889855622883;0.12587441512044156
0;2467;;508.0;3.138138561672955e-08;0.7366474951862666;0.7791120798509171;0.12992222514322432
0;2468;;508.0;3.138138561672955e-08;1.0970441723836681;0.18236049869137294;0.13196231438542905
0;2469;;509.0;3.144315999786484e-08;1.5495458913265714;0.971946372667326;0.12801399621361895
0;2470;;511.0;3.156670876013543e-08;0.6966791475873889;0.3864153611462932;0.11494078565956993
0;2471;;512.0;3.1628483141270725e-08;1.0822768397589968;1.1460508388849984;0.11723634438784049
0;2472;;512.0;3.1628483141270725e-08;1.2917145671705503;0.15559704651359532;0.1318624680678405
0;2473;;513.0;3.1690257522406016e-08;1.0385077642883593;0.34735131283238135;0.12399083471529906
0;2474;;514.0;3.175203190354131e-08;1.0002375624712088;0.1443551617388997;0.12490328210887648
0;2475;;515.0;3.1813806284676604e-08;1.048418306805932;0.3093209804151087;0.1384350301724594
0;2476;;515.0;3.1813806284676604e-08;1.1778923026812342;0.45458624065893655;0.13930287968795457
0;2477;;516.0;3.18755806658119e-08;1.2150083329529917;0.5046537599951431;0.12768708860912922
0;2478;;516.0;3.18755806658119e-08;1.1883416210528446;0.42486969870088515;0.12657410561750132
0;2479;;516.0;3.18755806658119e-08;1.3246435901989229;0.7487097676248166;0.1202132111393618
0;2480;;516.0;3.18755806658119e-08;1.3986298457109785;1.0846827599313844;0.11563478630339281
0;2481;;516.0;3.18755806658119e-08;1.3423910435175228;0.4528269271614197;0.13197704799889667
0;2482;;517.0;3.193735504694719e-08;0.9352351502734737;0.46123279776797177;0.13157470943111174
0;2483;;517.0;3.193735504694719e-08;1.341728571934615;0.3308581650475341;0.12673031956712724
0;2484;;519.0;3.206090380921778e-08;1.0829221629531345;0.7345150437998865;0.1231515309992928
0;2485;;519.0;3.206090380921778e-08;1.1597449972673866;0.3110761274798015;0.13841700720800185
0;2486;;521.0;3.2184452571488376e-08;1.503418328574011;0.43748975262527007;0.12237086913739181
0;2487;;522.0;3.2246226952623666e-08;1.3244095705597692;0.2779414297996467;0.11754580560964603
0;2488;;522.0;3.2246226952623666e-08;1.4382237728223655;0.3127568219981419;0.13931249077868818
0;2489;;523.0;3.2308001333758964e-08;0.7711501730794689;0.3823849222318675;0.11612781383779985
0;2490;;523.0;3.2308001333758964e-08;0.8866110204932055;0.4542654677912667;0.11536455622923389
0;2491;;523.0;3.2308001333758964e-08;1.0992967445275712;0.45301147915522644;0.11646720854709239
0;2492;;523.0;3.2308001333758964e-08;0.9405463246697758;0.34392523667072994;0.13904304451252258
0;2493;;523.0;3.2308001333758964e-08;1.0970278899318873;1.1082453534672696;0.12751808291558187
0;2494;;524.0;3.2369775714894255e-08;0.7658780058871131;0.788200786117848;0.1279195319154645
0;2495;;524.0;3.2369775714894255e-08;1.2364657641029984;0.46393435721499354;0.12753597308187672
0;2496;;524.0;3.2369775714894255e-08;0.8539346287671301;0.35785886240954157;0.13278883029592253
0;2497;;526.0;3.249332447716484e-08;1.0517581479489801;0.11641463235047517;0.12231899247355815
0;2498;;526.0;3.249332447716484e-08;0.9896750712056807;1.2063573769675242;0.13131310706884333
0;2499;;526.0;3.249332447716484e-08;0.8470091194351786;0.9452275648618229;0.11551003838564942
0;2500;;526.0;3.249332447716484e-08;1.203198213541177;0.2895934413689981;0.11694537407903344
0;2501;;526.0;3.249332447716484e-08;0.9096268745016878;0.17738762948439568;0.1305398265845848
0;2502;;526.0;3.249332447716484e-08;1.0327818310287866;1.1840863334618714;0.13921312814139084
0;2503;;527.0;3.255509885830014e-08;1.5345493899878173;0.6718121908341315;0.13896252992536182
0;2504;;527.0;3.255509885830014e-08;0.9787820853270833;0.41866871869807815;0.1251514545346977
0;2505;;527.0;3.255509885830014e-08;0.8928440490187455;0.8305471408800666;0.1280680322446028
0;2506;;528.0;3.261687323943543e-08;1.2291515104362667;0.27131859342332454;0.1391576043510602
0;2507;;529.0;3.267864762057073e-08;1.0778156733269941;0.3540412429955228;0.13856574220199216
0;2508;;529.0;3.267864762057073e-08;1.239557382275195;0.23894458046918307;0.13788336656433622
0;2509;;529.0;3.267864762057073e-08;1.1154992788506013;0.2484897503111761;0.13957313027125492
0;2510;;532.0;3.286397076397661e-08;1.6983822710909546;0.48001982746907823;0.12164473439935364
0;2511;;532.0;3.286397076397661e-08;0.95785141836978;0.14897877878793303;0.1391315965046168
0;2512;;533.0;3.29257451451119e-08;1.309185362958624;0.4499857847936494;0.12291509981499105
0;2513;;533.0;3.29257451451119e-08;0.8976933026842483;0.48288999490132745;0.1281815571832462
0;2514;;534.0;3.2987519526247197e-08;1.2014337660179852;1.1982514327548746;0.12286823545873467
0;2515;;534.0;3.2987519526247197e-08;0.8355629639373435;0.20160180921729814;0.1291466357176111
